League,Season,Date,HomeTeam,AwayTeam,Predicted,Actual,Correct,HomeProb,DrawProb,AwayProb,Confidence,MarketHome,MarketDraw,MarketAway,MLHome,MLDraw,MLAway,PoissonHome,PoissonDraw,PoissonAway,LambdaHome,LambdaAway
F1,2011/12,21/04/12,Nice,Auxerre,D,H,0,0.34689042280525206,0.3627407371746323,0.2903688400201156,0.3627407371746323,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39326240408094526,0.40994527728611574,0.19679231863293897,0.1250425567908132,0.30858585853705395,0.5663715846721329,1.290959103107746,0.4627867843917535
I1,2011/12,21/04/12,Catania,Atalanta,H,H,1,0.3541485254271315,0.3535419986687502,0.2923094759041183,0.3541485254271315,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3787675949424767,0.37137791861363223,0.2498544864438911,0.29529455911786195,0.35706078723868245,0.3476446536434555,0.9082991769518938,0.8141344865738472
I1,2011/12,21/04/12,Chievo,Udinese,A,D,0,0.3073971309745437,0.2784970389573876,0.4141058300680687,0.4141058300680687,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2769115804089028,0.22660274586863138,0.49648567372246577,0.37882681540184543,0.30391332046143726,0.3172598641367174,1.0805967676253563,1.2049822465675806
I1,2011/12,21/04/12,Napoli,Novara,H,H,1,0.3667186506581775,0.2946675164688989,0.33861383287292374,0.3667186506581775,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42217116690496,0.2759611212588619,0.301867711836178,0.11266134411394875,0.13373911678935763,0.7535995390966936,3.386158364736458,1.3634502213681858
I1,2011/12,21/04/12,Parma,Cagliari,H,H,1,0.38493577452904687,0.31254322156834086,0.30252100390261233,0.38493577452904687,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4616523909370645,0.3067159369357357,0.2316316721271999,0.08219158121029241,0.1837050620094602,0.7341033567802475,2.2117456784898915,0.6137530483074463
N1,2011/12,21/04/12,Excelsior,Twente,A,A,1,0.32683659932931136,0.2044226792421672,0.46874072142852136,0.46874072142852136,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.17745521132875755,0.16729990991717,0.6552448787540724,0.8383021728242113,0.10875872722011688,0.05293909995567184,0.7848992951739745,3.2479992219988096
N1,2011/12,21/04/12,Graafschap,Heracles,A,A,1,0.3123249795224425,0.2639155554717026,0.423759465005855,0.423759465005855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.27114596209168385,0.23361916188024856,0.49523487602806754,0.4196869213610385,0.24847182178393784,0.33184125685502375,1.4983602260395348,1.7044633356084342
N1,2011/12,21/04/12,Heerenveen,Vitesse,H,D,0,0.40036675511943237,0.3157840276081703,0.2838492172723974,0.40036675511943237,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4007482889047134,0.3409091397494726,0.258342571345814,0.5163398749966216,0.19713485009457696,0.2865252749088015,1.8959057658508123,2.529946454374323
N1,2011/12,21/04/12,Waalwijk,Utrecht,H,A,0,0.36432339439092243,0.3000386104790476,0.33563799513002995,0.36432339439092243,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4547237379187173,0.2821107009943774,0.2631655610869053,0.10215479889442129,0.3045205286803935,0.5933246724251853,1.2996436451073279,0.384579923750762
SP1,2011/12,21/04/12,Barcelona,Real Madrid,A,A,1,0.272877961551417,0.25988398675368257,0.46723805169490035,0.46723805169490035,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2029627949558265,0.17937294218640093,0.6176642628577727,0.29756074309256836,0.2499899220627103,0.4524493348447215,1.7353820983761468,1.37554595482611
